Seção,Nome Seção,Divisão,Nome Divisão,Grupo,Nome Grupo
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",011,Produção de lavouras temporárias
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",012,Horticultura e floricultura
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",013,Produção de lavouras permanentes
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",014,Produção de sementes e mudas certificadas
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",015,Pecuária
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",016,Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",017,Caça e serviços relacionados
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",02,PRODUÇÃO FLORESTAL,021,Produção florestal - florestas plantadas
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",02,PRODUÇÃO FLORESTAL,022,Produção florestal - florestas nativas
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",02,PRODUÇÃO FLORESTAL,023,Atividades de apoio à produção florestal
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",03,PESCA E AQÜICULTURA,031,Pesca
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",03,PESCA E AQÜICULTURA,032,Aqüicultura
