cnae95_classe,cnae20_classe,grupo_codigo
01147,01148,011
01198,01164,011
01210,01211,012
01228,01229,012
01317,01334,013
01392,01393,013
01465,01598,015
01619,01610,016
01627,01628,016
02119,02101,021
02127,02209,022
05118,03116,031
05126,03221,032
10006,05003,050
13102,07103,071
13218,07219,072
13226,07227,072
13234,07235,072
13242,07243,072
13293,07294,072
14109,08100,081
14214,08916,089
14222,08924,089
14290,08932,089
15113,10112,101
15121,10121,101
15814,10911,109
15890,10996,109
15954,11224,112
16004,12204,122
17418,13219,132
17493,13235,132
17612,13511,135
17647,13545,135
18112,14118,141
18139,14134,141
18228,32922,329
19313,15319,153
19330,15335,153
19399,15394,153
20230,16234,162
20290,16293,162
21326,17338,173
21490,17494,174
22152,58115,581
22195,58298,582
22225,18130,181
22292,18211,182
23302,20193,201
24295,20291,202
24546,32507,325
24619,20525,205
24627,20517,205
24635,20517,205
24694,20517,205
24716,20614,206
25291,22293,222
26999,23991,239
27499,24491,244
28134,25136,251
28215,25217,252
28223,25225,252
28916,25918,259
28991,25993,259
29114,28119,281
29122,28127,281
29130,28135,281
29149,28143,281
29157,28151,281
29211,28216,282
29220,28216,282
29238,28224,282
29246,28232,282
29297,28291,282
29319,28330,283
29408,28402,284
29513,28518,285
29521,28526,285
29548,28542,285
29610,28615,286
29629,28623,286
29637,28631,286
29645,28640,286
29653,28658,286
29696,28691,286
29726,25501,255
30120,28291,282
31119,27104,271
31127,27104,271
31135,27104,271
31216,27317,273
31526,27406,274
31925,27902,279
31992,27902,279
32212,26311,263
33103,26604,266
33200,26515,265
33308,26515,265
33405,32507,325
33910,33121,331
34312,29301,293
35114,30113,301
35122,30121,301
35319,30415,304
36110,31012,310
36129,31021,310
36137,31039,310
36943,32400,324
36994,32990,329
37206,38394,383
45110,43118,431
45128,43916,439
45136,43134,431
45217,41204,412
45225,42111,421
45250,42928,429
45292,42995,429
45411,43215,432
45500,43304,433
45608,43134,431
50105,45111,451
50202,45200,452
50415,45412,454
50504,47318,473
51187,46184,461
51217,46222,462
51390,46371,463
51411,46419,464
51420,46427,464
51454,46443,464
51519,46818,468
51535,46745,467
51543,46842,468
51594,46851,468
51640,46656,466
51659,46516,465
51691,46630,466
51918,46915,469
51926,46699,466
52299,47229,472
52418,47717,477
52426,47539,475
52434,47547,475
52442,47890,478
52450,47512,475
52493,47890,478
52710,95215,952
60100,49116,491
60240,49221,492
60259,49299,492
60283,49302,493
60291,49124,491
61115,50114,501
61212,50220,502
62103,51111,511
62200,51129,511
63215,52214,522
63223,50301,503
63231,52401,524
63304,79112,791
63401,52320,523
64203,61302,613
65595,64999,649
65935,77403,774
65994,64999,649
66125,65120,651
67121,66126,661
67202,66291,662
70106,68102,681
70327,68218,682
71218,77195,771
71390,77390,773
71404,77292,772
72214,62031,620
72290,62015,620
72400,63194,631
72508,95118,951
74110,69117,691
74160,70204,702
74209,71120,711
74403,73114,731
74500,78205,782
74608,80111,801
74705,81214,812
74993,82997,829
80993,85996,859
85120,86216,862
85138,86305,863
85154,86500,865
85162,86909,869
85316,87301,873
85324,88006,880
90000,38211,382
91995,94995,949
92118,59111,591
92215,60101,601
92223,60217,602
92312,90019,900
92320,90035,900
92398,90019,900
92401,63917,639
92614,93123,931
92622,93298,932
93041,96092,960
93092,96092,960
01112,01113,011
01120,01121,011
01139,01130,011
01155,01156,011
