codigo,nome
011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS
012,HORTICULTURA E FLORICULTURA
013,PRODUÇÃO DE LAVOURAS PERMANENTES
014,PRODUÇÃO DE SEMENTES E MUDAS CERTIFICADAS
015,PECUÁRIA
016,ATIVIDADES DE APOIO À AGRICULTURA E À PECUÁRIA; ATIVIDADES DE PÓS-COLHEITA
017,CAÇA E SERVIÇOS RELACIONADOS
021,PRODUÇÃO FLORESTAL - FLORESTAS PLANTADAS
022,PRODUÇÃO FLORESTAL - FLORESTAS NATIVAS
023,ATIVIDADES DE APOIO À PRODUÇÃO FLORESTAL
031,PESCA
032,AQÜICULTURA
050,EXTRAÇÃO DE CARVÃO MINERAL
060,EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL
071,EXTRAÇÃO DE MINÉRIO DE FERRO
072,EXTRAÇÃO DE MINERAIS METÁLICOS NÃO-FERROSOS
081,"EXTRAÇÃO DE PEDRA, AREIA E ARGILA"
089,EXTRAÇÃO DE OUTROS MINERAIS NÃO-METÁLICOS
091,ATIVIDADES DE APOIO À EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL
099,"ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS, EXCETO PETRÓLEO E GÁS NATURAL"
101,ABATE E FABRICAÇÃO DE PRODUTOS DE CARNE
102,PRESERVAÇÃO DO PESCADO E FABRICAÇÃO DE PRODUTOS DO PESCADO
103,"FABRICAÇÃO DE CONSERVAS DE FRUTAS, LEGUMES E OUTROS VEGETAIS"
104,FABRICAÇÃO DE ÓLEOS E GORDURAS VEGETAIS E ANIMAIS
105,LATICÍNIOS
106,"MOAGEM, FABRICAÇÃO DE PRODUTOS AMILÁCEOS E DE ALIMENTOS PARA ANIMAIS"
107,FABRICAÇÃO E REFINO DE AÇÚCAR
108,TORREFAÇÃO E MOAGEM DE CAFÉ
109,FABRICAÇÃO DE OUTROS PRODUTOS ALIMENTÍCIOS
111,FABRICAÇÃO DE BEBIDAS ALCOÓLICAS
112,FABRICAÇÃO DE BEBIDAS NÃO-ALCOÓLICAS
121,PROCESSAMENTO INDUSTRIAL DO FUMO
122,FABRICAÇÃO DE PRODUTOS DO FUMO
131,PREPARAÇÃO E FIAÇÃO DE FIBRAS TÊXTEIS
132,"TECELAGEM, EXCETO MALHA"
133,FABRICAÇÃO DE TECIDOS DE MALHA
134,"ACABAMENTOS EM FIOS, TECIDOS E ARTEFATOS TÊXTEIS"
135,"FABRICAÇÃO DE ARTEFATOS TÊXTEIS, EXCETO VESTUÁRIO"
141,CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
142,FABRICAÇÃO DE ARTIGOS DE MALHARIA E TRICOTAGEM
