subclasse,grupo_codigo,grupo_nome,divisao_codigo,secao_codigo,secao_nome
4929902,492,TRANSPORTE RODOVIÁRIO DE PASSAGEIROS,49,H,"TRANSPORTE, ARMAZENAGEM E CORREIO"
1610204,161,DESDOBRAMENTO DE MADEIRA,16,C,INDÚSTRIAS DE TRANSFORMAÇÃO
1610203,161,DESDOBRAMENTO DE MADEIRA,16,C,INDÚSTRIAS DE TRANSFORMAÇÃO
4623105,462,COMÉRCIO ATACADISTA DE MATÉRIAS-PRIMAS AGRÍCOLAS E ANIMAIS VIVOS,46,G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
3314705,331,MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E EQUIPAMENTOS,33,C,INDÚSTRIAS DE TRANSFORMAÇÃO
4623106,462,COMÉRCIO ATACADISTA DE MATÉRIAS-PRIMAS AGRÍCOLAS E ANIMAIS VIVOS,46,G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
4623107,462,COMÉRCIO ATACADISTA DE MATÉRIAS-PRIMAS AGRÍCOLAS E ANIMAIS VIVOS,46,G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
5620102,562,"SERVIÇOS DE CATERING, BUFÊ E OUTROS SERVIÇOS DE COMIDA PREPARADA",56,I,ALOJAMENTO E ALIMENTAÇÃO
6611802,661,ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS,66,K,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS"
6611803,661,ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS,66,K,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS"
6611804,661,ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS,66,K,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS"
0111301,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
0111302,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
0111303,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
7729201,772,ALUGUEL DE OBJETOS PESSOAIS E DOMÉSTICOS,77,N,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES
0111399,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
0112101,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
0112102,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
0112199,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
0113000,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
0114800,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
0115600,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
0116401,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
0116402,011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,01,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
