grupo_codigo,grupo_nome,secao_codigo,secao_nome
492,TRANSPORTE RODOVIÁRIO DE PASSAGEIROS,H,"TRANSPORTE, ARMAZENAGEM E CORREIO"
161,DESDOBRAMENTO DE MADEIRA,C,INDÚSTRIAS DE TRANSFORMAÇÃO
462,COMÉRCIO ATACADISTA DE MATÉRIAS-PRIMAS AGRÍCOLAS E ANIMAIS VIVOS,G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
331,MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E EQUIPAMENTOS,C,INDÚSTRIAS DE TRANSFORMAÇÃO
562,"SERVIÇOS DE CATERING, BUFÊ E OUTROS SERVIÇOS DE COMIDA PREPARADA",I,ALOJAMENTO E ALIMENTAÇÃO
661,ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS,K,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS"
011,PRODUÇÃO DE LAVOURAS TEMPORÁRIAS,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
772,ALUGUEL DE OBJETOS PESSOAIS E DOMÉSTICOS,N,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES
013,PRODUÇÃO DE LAVOURAS PERMANENTES,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
072,EXTRAÇÃO DE MINERAIS METÁLICOS NÃO-FERROSOS,B,INDÚSTRIAS EXTRATIVAS
015,PECUÁRIA,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
012,HORTICULTURA E FLORICULTURA,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
014,PRODUÇÃO DE SEMENTES E MUDAS CERTIFICADAS,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
